profile,policy,p50_ms,p95_ms,p99_ms,dc_miss_rate,total_blocks,evictions,sim_sec
balanced,lru,0.05,0.05,0.05,0.0,240,0,1.4735
balanced,hotcold,0.05,0.05,0.05,0.0,240,0,2.4012
balanced,predictive,0.05,0.05,0.05,0.0,240,0,2.1593
balanced,intent,0.05,0.05,0.05,0.0,240,0,2.3633
balanced,deadline,0.05,0.05,0.05,0.0,240,0,1.8744
deadline_pressure,lru,0.05,0.05,0.05,0.0,264,0,2.0878
deadline_pressure,hotcold,0.05,0.05,0.05,0.0,264,0,1.9438
deadline_pressure,predictive,0.05,0.05,0.05,0.0,264,0,1.9631
deadline_pressure,intent,0.05,0.05,0.05,0.0,264,0,1.9843
deadline_pressure,deadline,0.05,0.05,0.05,0.0,264,0,1.9548
rag_mixed_priority,lru,0.05,0.05,0.05,0.0,288,0,2.0323
rag_mixed_priority,hotcold,0.05,0.05,0.05,0.0,288,0,2.3734
rag_mixed_priority,predictive,0.05,0.05,0.05,0.0,288,0,2.0508
rag_mixed_priority,intent,0.05,0.05,0.05,0.0,288,0,2.4459
rag_mixed_priority,deadline,0.05,0.05,0.05,0.0,288,0,2.0141
speculative_decode,lru,0.05,0.05,0.05,0.0,240,0,1.6574
speculative_decode,hotcold,0.05,0.05,0.05,0.0,240,0,2.0826
speculative_decode,predictive,0.05,0.05,0.05,0.0,240,0,2.0223
speculative_decode,intent,0.05,0.05,0.05,0.0,240,0,1.7542
speculative_decode,deadline,0.05,0.05,0.05,0.0,240,0,1.5898
long_context_extreme,lru,0.05,0.05,0.05,0.0,480,0,4.2468
long_context_extreme,hotcold,0.05,0.05,0.05,0.0,480,0,3.8731
long_context_extreme,predictive,0.05,0.05,0.05,0.0,480,0,3.5857
long_context_extreme,intent,0.05,0.05,0.05,0.0,480,0,3.1968
long_context_extreme,deadline,0.05,0.05,0.05,0.0,480,0,3.333
